ID,Governor Name,Place of Birth,Date of Birth,Wikipedia Personal Link
2366158c-0712-4c3e-b347-a437e6649358,Muzakir Manaf,"Mane Kawan, Seunuddon, Aceh Utara, Aceh",3 April 1964,https://id.wikipedia.org/wiki/Muzakir_Manaf
ffae270d-c5c2-4a1a-8f4e-7b9d18aa9d94,Bobby Nasution,"Medan, Sumatera Utara",5 Juli 1991,https://id.wikipedia.org/wiki/Bobby_Nasution
0fff036c-872e-4ade-bca0-70a38a22680c,Mahyeldi Ansharullah,"Bukittinggi, Sumatera Barat",25 Desember 1966,https://id.wikipedia.org/wiki/Mahyeldi_Ansharullah
7fa10e6a-b3ff-4665-9eeb-81c4c7984418,Abdul Wahid (politikus),"Belaras, Mandah, Indragiri Hilir, Riau",21 November 1980,https://id.wikipedia.org/wiki/Abdul_Wahid_(politikus)
99635397-5932-4d08-81bc-bcc7bb4bb921,Al Haris,"Sekancing, Merangin, Jambi",23 November 1973,https://id.wikipedia.org/wiki/Al_Haris
01bc668e-8c41-4003-a844-2ea25df6b820,Herman Deru,"Belitang, Ogan Komering Ulu Timur, Sumatera Selatan",17 November 1967,https://id.wikipedia.org/wiki/Herman_Deru
73df4abc-7311-4022-b86e-bee994209911,Helmi Hasan,"Pisang, Penengahan, Lampung Selatan, Lampung",29 November 1979,https://id.wikipedia.org/wiki/Helmi_Hasan
4d7d24d2-4d2d-40d2-af26-6b5302d95d1a,Rahmat Mirzani Djausal,"Kotabumi, Lampung Utara",18 Maret 1980,https://id.wikipedia.org/wiki/Rahmat_Mirzani_Djausal
00b4a2d7-2dfb-4815-925f-cff8a94a06eb,Hidayat Arsani,"Pangkalpinang, Kepulauan Bangka Belitung",21 Agustus 1963,https://id.wikipedia.org/wiki/Hidayat_Arsani
82e7c91f-9ffb-42f6-8777-6a3820ba1e05,Ansar Ahmad,N/A,N/A,https://id.wikipedia.org/wiki/Ansar_Ahmad
40531f80-b2f7-4045-aa92-a9f7aef3324b,Pramono Anung,"Kediri, Jawa Timur",11 Juni 1963,https://id.wikipedia.org/wiki/Pramono_Anung
0a242104-7823-45bc-beb1-25480e3f3d34,Dedi Mulyadi,"Subang, Jawa Barat",12 April 1971,https://id.wikipedia.org/wiki/Dedi_Mulyadi
07a1b2ce-ffe2-42d7-9224-db00d4f3b8eb,Ahmad Luthfi,"Surabaya, Jawa Timur",22 November 1966,https://id.wikipedia.org/wiki/Ahmad_Luthfi
da1a7b1e-e652-416d-bffa-53a4d7fb58f0,Hamengkubuwana X,"Kesultanan Ngayogyakarta Hadiningrat, Yogyakarta",2 April 1946,https://id.wikipedia.org/wiki/Hamengkubuwana_X
e1e02079-8c2c-4fd4-84e8-065aa2b8c806,Khofifah Indar Parawansa,"Surabaya, Jawa Timur",19 Mei 1965,https://id.wikipedia.org/wiki/Khofifah_Indar_Parawansa
cc8aa421-db6d-41a7-a7e2-06decaffc699,Andra Soni,"Payakumbuh, Sumatera Barat",12 Agustus 1976,https://id.wikipedia.org/wiki/Andra_Soni
412e88aa-f73c-4514-a013-7c79d59fe92e,I Wayan Koster,"Sembiran, Tejakula, Buleleng, Bali",20 Oktober 1962,https://id.wikipedia.org/wiki/I_Wayan_Koster
